,Name,Comment
0,Aditya Saputra,"Trump card (2020) FULL MOVIES HD 
ᴡᴀᴛᴄʜ ᴏʀ ᴅᴏᴡɴʟᴏᴀᴅ ɴᴏᴡ ✈️ trump-card-movie-vilas.blogspot.com
••••••••ஜ۩۞۩ஜ•••••••••
All Subtitles"
1,Door Spook,"Sooo, we don't point out lies mistruths or obstructionism when it's clearly on display."
2,anthony gamer life,who just wacthed this to make fun of trump
3,Amy Walker,So disgraceful I could hardly stand to watch it to the end.
4,Trace Si,When I want to see two old people fight I'll go to my grandma's house.
5,PyroStylez,the actual title of this video : trump vs moderator
6,George Ramirez,I remember Maxine waters saying we need to pass the ACA quickly we will read the act after it's signed into law it's much to long to wait.
7,Sondra McNamara,"Sooo, we don't point out lies mistruths or obstructionism when it's clearly on display."
8,Arnaldo Pereira,Did I watch a old white people version of love and hip hop
9,joseltp,was this game one of the NBA finals? who won?
10,Dan Chris,This debate is set up like a game show lmao
11,Evenor Pineda,"They should put shock collars on them for when they speak over each other, now that’s good television 😂"
12,William Comer,"I  voted the ""least damage"" candidate in 2004 and that was detrimental, to be sure."
13,alia ferguson,"I  voted the ""least damage"" candidate in 2004 and that was detrimental, to be sure."
14,Jainster C,so when are we gonna get an epic rap battle of history about this
15,Jinecia,50:12 “will you shut up man” 🕶
16,Torey Townsend,"If I was the Moderator I would have been mentally drained, had a meltdown and shut the whole show down. After a certain age you just get tired of going back and forth. So I thought until I seen this, SMH!!!!!"
17,Sondra McNamara,That moment with Chris Wallace at the beginning.
18,Moe Lester,35:15 is when it begins
19,Sammy Mobly,"35:12-Supreme Court Nomination
42:43-Healthcare
49:15-Pack The Court
50:37-COVID-19"
20,ghostman zimo,"Here's a summary of this debate:
Trump: ""Oh you approach me?""
Biden: ""I can't beat you in the polls without getting any closer""
Trump: ""Oh ho! Then come as close as you like!"""
21,Ben Proctor,Wow their painting trump as the devil!!! He’s like Broly yo!
22,Babee Bee,Trump will win. He has to cause chaos. The United States is clueless to what he is doing.
23,Jock :,This is when two kids get in trouble in school and blame each other
24,Dezi Monae,"I'm just trying to imagine what the ""debate"" will be like when my generation is running. Probably won't even be called the debate more the like The Presidential Roast Session 😭😭😭"
25,Donald Shimkus,"Remember, 1 Donald ""trumps"" 2 jokers any day."
26,Dulce Castro,The pandemic is go one day no far but that economic is forever
27,Hedgehog's Right of Passage,"As Bruce Lee said in the debate : ""Boards don't hit back"""
28,Beef2467 T-Sq2,""" Internal peace and some sort of harmony are the precondition of the existence of a nation. ""
Ayn Rand"
29,Shred Bro Inc,This is like watching an Among Us debate when nobody knows who's the imposter
30,AGNUS DEI,"people already decided , they are not making decision last minute call , there are division for morality and the people know where Biden and Trump differences stand"
31,camendiv,9:40  The amount of soy on this boi xD
32,Dulce Castro,I love him you got to see November 3
33,Davis bethel,"Wow🤦🏾‍♀️it’s like nothing happened this Year, and these Ppl wasn’t Murdered Spring2020 and Counting due to the Weapon Covid-19..."
34,Shrek Fan,James Charles vs Tati was better.
35,Carl Bernroth,Imagine having these two clowns as your primary choice in an election. Oh wait...
36,Charlotte wilkerson,GOD...NOBODY WILL LET ANYBODY FINISH....THIS ENTIRE DEBATE IS EMBARRASSING.
37,Josh Chin,should put a mixing board and a sound engineer in charge of moderating this debate. just mute whichever person who is not supposed to be talking. problem solved.
38,seeni gzty,Why is this whole debate feels it came out from a monty python sketch...
39,Lucid,It’s sad I watched this for comedy and not political knowledge
40,Brandon Watkins,46:40 lol
41,TheFlower1234,"America, do not vote blindly.  Keep the servant of our Father in the WH.  May Trump triumph.  Amen."
42,Steve lee,"Hi jack .. um, my name is is chris. . Classic..laughed for 20 minutes"
43,Joey Allen,Where are the executive orders to give us relieve
44,Ahmed Elmahdy,Prayers for the children assigned to analyze this for school.
45,John La Marca,"I need to be fair. So, I will cast one vote for each one of these candidates... 😎😂"
46,Gwn5555,Oohhhh that MAMA JUNE.....IS JUST UPSET HER FOUNDATION IS TURNING DARK!!!! LOL
