,Name,Comment
0,Albert Floyd,Ha ha wealthy elites calling others the wealthy elite.
1,Jose Peixoto,"Here is how a person like Trump got elected:  you give the ameri-cam people nothing but two <thurds to choose from, and <thurds they didn't pick,  but they must pick one of the two, that´s how."
2,J Dizzle,"The village people value money over their own life.... amazing how delusional these people are!
Who was that lady with the big hat! doesn't she know trumps a draft dodger?"
3,maria cronin,I’m so embarrassed and scared for our nation
4,Terry Wilson,Why do people think going bankrupt time after time makes you a good business man.
5,ValensBellator,I kinda wish we’d just turn off all cable news for a few months after voting. Focus on everyday life for a little while.
6,Awolfe Canada,Meanwhile up here in Canada we’re nervous 😩 it’s not going to end well
7,ZL,The village group looks and acts like a cult.
8,Alfie Jordan,Trump ' I'm immune I'm gonna give every one a great big kiss' 🤣🤣
9,Mark M,Hey Trump! What will you do when FOX won't take your calls?
10,Ryan Elliott,I feel like America is in an altered universe. Whole thing is bizarre.
11,sina mumuta,God bless President Elect and love one another
12,Ray B,"That’s good they are not voting early. After the super speeder events, only God knows what will happen. Like what Tyson said, “If he dies, he dies”."
13,Christopher Woodford,"""I will kiss everyone and we will make America great again!"".......His greatest political weapon is intimacy ?! Lol! 😱"
14,Kelly Evans,Wow! Unreal that these peple dont seem to know what trump is. Sad
15,Francis McCorey,"😂😂😂 am just imagining if trump loses the number of seniors that might die of stroke in the village, and am not wishing for anyone to die but seniors should be kept away from surprises"
16,On Couch Arrest,"It’s really hard to take that women with the “big red hat” on seriously, she looks ridiculous lol"
17,yuhji kuioj,Please tell me this is just a movie where a con man and his goons take over the USA.
18,Mogens Rasmussen,"""The most trusted democratric election system in the world"" ? Trusted by whom and where did she get that information ?"
19,James Buam,Money is not an indication of support the Swamp have access to unlimited amounts of money?
20,Stephen Odell,"The narrator's voice sounds English to me. England, a country where they think the opinion of a news paper editor is important, but here we know that it is only the opinion of one man and he has his program. He has proven to be no better  informed then any one else yet he thinks he is important and tell the rest of us what to think and not giving us the facts to think about. They decide what we hear and it goes by the way of their clouded liens. They have never asked the important question of what is the roll of the press in a free democratic society? There is always some one willing to tell a king what he  thinks the king wants to hear but not the truth. Ours is collectively  called the press. The think that they know the people but run out and get their story then go back to their bar. Polls are an example of this. They spit out who is leading in the polls like an announcer at a race track, he's a head,   now he is behind. Only a fool would make as important decision on a poll. But that is so like them. There is one country who is trying to take over land of all their neighbors, control sea going traffic on  the open sea on one of the most important trade routs, interfere with every country who borders that seas, have a unit of their army monitor  all traffic on the internet, have a law that any one who produces computers or cell phones make them in such a way that they control and spy on any user, they have passed laws that make any thing that they consider an insult liable ti them no matter where they live. They have made predatory loans to small countries who could not possibly pay them back by building ports or offering to build ports or canals then taking them over, or demanding a navy base their. Do we hear any of this from the press? NO! Let some one in a far away country kill their girl friend they go on and on (as the blade runner).  Why do they want to support a foreign who has openly stated the wish to destroy us is beyond me. Don't they realize that they owe their existence to the first Amendment? Do they think that they will have the freedom if we do away with the Constitution? Are thy tiring to kill the goose who laid the golden egg? Did the country in Question give them money? Why do they defend the lawless, the corrupt  politicians?"
21,Mark Kelly,"Trump Farewell Tour

Trump kisses off his base and feels sorry for himself"
22,Kobus Meyer,"Oh how I wish news could be objective again
No wonder people feel like this about Trump."
23,Jay Lin,Don’t believe anything the president says about stimulus checks.
24,Deomnibus Dubitandum,"“There is a cult of ignorance in the United States, and there has always been. The strain of anti-intellectualism has been a constant thread winding its way through our political and cultural life, nurtured by the false notion that democracy means that ’my ignorance is just as good as your knowledge.’” ― Issac Asimov"
25,LION HEART TV,This is a election for the history book very super tense. 2020 has been a rough year but we can make it through together.
26,J Ramanathan,But he didn't  go down and kiss the people. All talk and alot of BS.
27,Andrew James,"Trump has been doing a good job truly speaking, 5 months ago i was in the united states of America and i was infected with covid19 and i thought i was going to die, but the hospitality, love, care and kindness i received was one of a kind. I felt i was going to be treated like a trash cause i was in another man country. I am grateful to God for the few people i met in USA. I don't know if anyone reading this right now has heard of Lyra Holt Dean, i am not here to promote or advertise her, i feel she is someone we should have to learn one or two things for she has been helpful to me. She brought financial freedom to my life and the life of my family. We will forever be grateful to you ma. after i tested negative for covid i was down financially and she changed my story around and today i have been successful in trading crypto currency. It has never been a loss. if you wish to reach her contact@lyraholtdean. com. All praises to Donald Trump i can't thank him enough for his love and kindness towards me even though i am not a citizen of America and i also thank the Government too am really so appreciative . Hopefully i will be back soon SMILES!!!!!"
28,Ian Brown,"I am not American or a US voter, if Trump loses, eventually (I say that as I assume if Trump loses, he will go to Court), will there be trouble? When I say trouble, I mean anything from protests on the streets to these Militia's you see on the news?"
29,Larry Tennant,I don't think his wife will even vote for him!
30,Margaret Alexander,"What a shame, that unified setting, peace and harmony at that senior stage, now depict pending  destruction,  (**messing up of the once known, inviting, socially well intended, chosen, social lives!**) God! Please reestablish the wonderful life of harmony they once knew! Amen!"
31,Dorian Rivera,Apparently these people look somewhat educated to me I'm totally impressed how you could be educated and so f**** stupid at the same time
32,obvi•US,Get off yer ass an' V • O • T • E!!!
33,ᥴꪮꪮ ᥴꪮꪮ kꪖᥴꫝꪮꪮ ꪑikꫀ niners シ,Ahhh. Sweet. Thanks for reminding me that he's the one who started fake news.
34,Orly Eitan,"People do not die from corona, its a lie of the people of “new world order”"
35,Crystal Quintero,"A lot of his dumb voters have died of the fake COVID, he gave them at a dump rally....   he literally played the virus down and a lot of his sheep paid the price,"
36,lacrews10,Facts don't matter. The reality is that we are participating in a ritual. It's fun to watch tho. I'm rooting for the ones alive.
37,Ben L,did this washington power player living in a huge mansion just called others wealthy elites ?
38,April Drosos,Sure looks like it.  Now God is relevant now that the ship is sinking
39,leonie burnham,"Kim Hoggard...what did you think Reagan's ""trickle down"" economics would lead to. 
40 years later here we are...sick, broke, barely educated and divided."
40,Joshua Dejesus,& this women is lying and she said they are posting racial slurs on their story yea ok sure rii
41,Irma Vera,These people in the village do not care about everyone else in the US. They are financially secure so they don't care!
42,Eden Lim,The people in the village looks straight out from Far Cry 5
43,Richard Thompson,the woman at 19 minutes in doesn't get it everything trump had has a business man has been trashed with bankruptcy
44,Scum Destroyer,So they interviewed 90% trump haters
45,S Scott,Why dose this man use people's music knowing thet don't want him too.
46,James Buam,This whole program is just a hit piece?
47,GUIA BORJA,maybe the wizened people of the villages have been bought by the self righteous president.
48,Jason Barnes,"America truly is at the greatest crossroads in its history. All eyes on the USA for the next few weeks.

Side note: Love how they ended this documentary. The thumping bassline and then cut to black was really dramatic."
49,Phuoc Duong,Trump and his supporters are crazy cultist. They believe that Trump cares for them. He’s not caring for them and never will because he’s doing it for his best selfish interests.
50,Jaylon Gregory,"""People like me have died"" lady you're alive i think"
51,Aussie Taipan,And surely the US are smarter than electing a candidate who shows early signs of dementia
52,Ire Holcomb,The villages look high risk they might want to vote blue- just sayin
53,Anthony D'Agostino,"I, at this point don't even believe he even has covid-19 just because why now, when this virus has been in the country since the last January?"
54,Orly Eitan,End for trump means end of the world. The rest is only big corruption.
55,James Buam,The commentator did not qualify the 10% unemployment was down to the lockdown?
56,Bart Foster,Ever notice both his first and middle names rhyme with CON!
57,Eric Temple,"People must must decide whose policies the want to live under in the future, that's all, make sure you like it, it can't be walked back. Both candidates are very wealthy old men, losing won't bother them, there's a lot of important bedsides the virus."
58,Ethan Weeter,He could. I hope not though. We need a real American running this country.
59,robert ross,"“ Beware of false prophets, who come to you in sheep’s clothing but inwardly are ravenous wolves.” Matthew 7:15 Is this man Christ like or devil like. You examine the principles of God and the that of the adversary."
60,Jonathan Billing,And you missed the most important thing. No NEW foreign wars. You do realise that war is always a distraction from local problems and has been continuous under previous Presidents.
61,D Vo,DJT is trying to get out of it then cash in on development deals with Netflix.  Hold him back 4 more years.
62,Michael W,"This country needs to shut down.
Hard to believe this put country puts money over lives."
63,Lavish Whisper,Never in my life have I felt more grateful to be a NON-US citizen...
64,John Williams,The lady with the wacky hat killed me. You cant make a perody of America because we are already a parody.
65,"hey, its Michael again.",Will we ever get back to the media just reporting the news? The Walter Croncrite day's? Unbiased? A divided nation no matter who get's elected. Some media is for Mr. Biden and another outlet is for President Trump. Some on the left and some on the right of politic's.  Would not want to be a journalist in these times. Could lose my job.
66,cole k,DT has so many trick to fool masses and they all eat it. Like the Jesus trick. Ask him a quote from Bible and u will know that “Jesus being a boss” is bogus
67,Joshua Dejesus,He was being chased by them & they had a gun & pointed it to his head but the 17 year old shot First do ur homework please they attack him first
68,Meli Matanatoto,Should be broken up these Tech Giants like the conglomerates of the early 1900s.Joe Biden and his family is the stooge of the Enemy Country of the USA which is the Dragon Nation in Asia. And no different from the Twitter and Google who are trying to stop free speech and promoting Chinese Communist Interests.
69,Andy Pat,Hahaha...the 'lady' in the big hat! Sorry love - hard to take you seriously! Lol
70,jen snitzer,Did you check the look on Obama's face?  Priceless.
71,ignacioprado,He loves god and he loves us😂😂😂😂😂😂😂 that’s the funniest thing I heard today.  Thanks for laugh dumb lady.
72,Simon Mavros,far out this report is pathetic
73,Thomas McCabe,I’ll Rittenhouse did what he was supposed to defend his self
74,Overplays AceKing,"That dinner in his honour just screams ""cult"""
75,rawhamburgerjoe,Oh that Wisconsin accent. Breaks my heart.
76,UnknownUser Chase,"""The country is in a mess"", says a man calmnly, from the comfort of his home. 😅"
77,Fred Kite,Let's hope it's the end. We can't stand the guy in Europe. We don't need 4 more years of an egocentric me myself and I incompetent President.
78,Howard Conover,"I wonder how many retired couples of color there are at the ""Villages""?"
79,American Dog,"Let’s not forget how Pinocchio attacked Harley Davidson sending 10s of thousands of jobs overseas

Then we have the massive number of John Deere Cummins jobs "
80,Don Quijotedelamancha,"""Jesus is essential""...LMAOL"
81,Ch_ Kh,It's all optics and showoffs from a reality TV show host who got elected by chance to be the president of the greatest nation in the world. Americans have come to learn about the importance and danger of the seat of the POTUS if it falls in the hands of people like the current president.
82,Corey Hostetler,These people live in a alternate reality that’s made up. So many lies. They act like covid is getting worse when in reality you basically have a 99 percent chance of surviving it. Furthermore the cdc just recently revealed that hospitals have been counting deaths as covid deaths when in reality they had other terminal illnesses.
83,Jerry Rogers,"The optics are the same as '16, Trump is a man of the people and Biden represents the entrenched special interests."
84,Cecil Reed,I didnt see one black face in the Villages...so you KNOW what the villages is all about
85,Luis Acosta,When will America be great again? Its been 4 years. Do we have to wait another 4?
86,Gee Smith,Last time I looked the hole world and economy has crashed there just not telling us
87,George Bruz,"""Who died... like me."" LOL WUT"
88,Kevin K. RPEQ in Australia,What was Will Wonka doing talking about politics less than one minute into this video??
89,Charles Kellas,"Big sigh, just want this election to be over with."
90,Tiger.,There's more people dying daily of other causes of other causes of other causes of.
91,Ting Wang,Nothing to defy. He has been leading. The pollsters choose not to report the fact.
92,nothing human,"I  feel like we're literally watching the fall of an Empire....from outsider, America doesn't look like a democracy it looks like a totalitarian state, if you look at the democracy index America is 25th , beaten by countries like Chile and Costa Rica, infact the states is considered a flawed democracy so I'm not sure why Americans have this idea their ""democracy"" is the best in the world..Norway can take that title , even Sweden or new Zealand can claim this seeing as they're in the top 5"
93,Merlyn Mac,He didn't have corona virus. He just stopped using his spray tan.
94,silversurfergw,he will once again bet on the worst of America because they haven't let him down so far.
95,Walter Davis,Let's talk about some back history if you don't know who he is Google it I'm talking about Nikola Tesla when he died in the New Yorker Hotel 20 trunks of his inventions came up missing they ended up in Germany at the end of World War II with Operation Paperclip Google it the Rockets came through Lake Worth Florida went up a1a to Cape Canaveral and then they built Pratt & Whitney aircraft where they make the stealth on Beeline Highway all the rest of Nikola Tesla's inventions ended up in the hands of Donald Trump's grandfather and General Electric stoled his patents everything in our modern world is credited to Nikola Tesla's inventions this whole thing is a technology War and China and all you treasonous will stop at nothing to discredit and destroy Donald Trump and you know it and now everybody else does too if they're reading this and if you don't believe it Google it  the information  it's their its history it happened and Donald Trump has never been a politician he's draining the swamp and the swamp wants to kill him . Trump is a constitutionalist not a communist and he's never been a politician hate him if you want to but he's the only hope you have at this present time until Jesus comes back and if you believe in Jesus know this he gave you Barack Obama because he's a God of yes not no but he's also a God of Justice and he told you if you want gay marriages you can do that but there will be consequences and you said we want gay marriages so he gave you Barack Obama but Jesus Freaks complained to God and God said okay I'll give you Donald Trump he was raised up for this reason you can call him what you want to but remember this Moses was a murderer before he ever got started
96,warntheidiotmasses,"7:30 The Villages, OMG! Boring! Contact me for a great place to retire!"
97,Robert Harrison,"31:25 He did have a weapon, he had a damn knife in the car."
98,David Hamilton,No wonder I can't find any Kool Aid on the shelves...
99,IronPanda,The best candidate for me is Yang. But sorry he is an Asian American
